timestamp,ip,latencia_ms,perda_pacotes_pct,jitter_ms,status_real
2026-09-13 21:11:59,193.0.14.129,118.51,0.0,0.32,RISCO
2026-09-13 21:11:51,193.0.14.129,0.52,0.0,0.06,OK
2026-09-13 21:11:55,193.0.14.129,1.32,0.0,0.06,OK
2026-09-13 21:11:59,193.0.14.129,20.43,0.0,1.24,OK
2026-09-13 21:11:47,193.0.14.129,22.63,0.0,1.31,OK
2026-09-13 21:11:59,193.0.14.129,6.81,0.0,0.42,OK
2026-09-13 21:11:52,193.0.14.129,9.75,0.0,0.01,OK
2026-09-13 21:11:52,193.0.14.129,81.74,0.0,0.59,RISCO
2026-09-13 21:11:40,193.0.14.129,12.24,0.0,0.15,OK
2026-09-13 21:11:46,193.0.14.129,34.58,0.0,0.06,OK
2026-09-13 21:11:48,193.0.14.129,3.28,0.0,0.04,OK
2026-09-13 21:11:45,193.0.14.129,12.79,0.0,0.21,OK
2026-09-13 21:11:51,193.0.14.129,0.36,0.0,0.04,OK
2026-09-13 21:11:41,193.0.14.129,70.11,0.0,0.15,OK
2026-09-13 21:11:56,193.0.14.129,1.0,0.0,0.01,OK
2026-09-13 21:11:52,193.0.14.129,12.0,0.0,1.24,OK
2026-09-13 21:11:50,193.0.14.129,30.3,0.0,0.03,OK
2026-09-13 21:11:46,193.0.14.129,164.29,0.0,7.73,RISCO
2026-09-13 21:11:59,193.0.14.129,128.43,0.0,0.3,RISCO
2026-09-13 21:11:46,193.0.14.129,290.96,0.0,0.08,RISCO
2026-09-13 21:11:58,193.0.14.129,82.13,0.0,4.08,RISCO
2026-09-13 21:11:42,193.0.14.129,6.5,0.0,0.05,OK
2026-09-13 21:11:40,193.0.14.129,12.33,0.0,0.05,OK
2026-09-13 21:11:58,193.0.14.129,0.6,0.0,0.02,OK
2026-09-13 21:11:51,193.0.14.129,4.53,0.0,0.02,OK
2026-09-13 21:11:51,193.0.14.129,108.36,0.0,0.05,RISCO
2026-09-13 21:11:40,193.0.14.129,0.65,0.0,0.03,OK
2026-09-13 21:11:45,193.0.14.129,286.38,0.0,0.03,RISCO
2026-09-13 21:11:44,193.0.14.129,9.67,0.0,0.06,OK
2026-09-13 21:11:57,193.0.14.129,11.87,0.0,0.11,OK
2026-09-13 21:11:40,193.0.14.129,4.26,0.0,0.03,OK
2026-09-13 21:11:44,193.0.14.129,24.26,0.0,0.48,OK
2026-09-13 21:11:40,193.0.14.129,23.54,0.0,0.03,OK
2026-09-13 21:11:42,193.0.14.129,5.49,0.0,0.52,OK
2026-09-13 21:11:53,193.0.14.129,29.19,0.0,0.41,OK
